Platform,Lat,Lon,Elevation (m),Year,Month,Day,Hour (UTC),Minute,Sounding Base (ft),Sounding Top (ft),Sounding Levels,CAPE (J/kg),700-500mb Lapse Rate (C/ft),850-500mb Lapse Rate (C/ft),LI (C),KI (C),Thompson Index (C),Total Totals (C),T 1000mb (C),T 850mb (C),T 700mb (C),T 500mb (C),Convective Temperature (C),1000-700mb RH (%),PWAT (mm),700-500mb Average RH (%),Surface-700mb Average RH (%),Surface-700mb Average Wind Speed (Kts),1000-700mb Average U-Wind Component (Kts),1000-700mb Average V-Wind Component (Kts),1000-850mb Average U-Wind Component (Kts),1000-850mb Average V-Wind Component (Kts),850-700mb Average U-Wind Component (Kts),850-700mb Average V-Wind Component (Kts),850-500mb Average U-Wind Component (Kts),850-500mb Average V-Wind Component (Kts),850mb Average U-Wind Component (Kts),850mb Average V-Wind Component (Kts),700mb Average U-Wind Component (Kts),700mb Average V-Wind Component (Kts),500mb Average U-Wind Component (Kts),500mb Average V-Wind Component (Kts),250mb Average U-Wind Component (Kts),250mb Average V-Wind Component (Kts),0-6km Shear (m/s),0-3km Storm Relative Helicity (m^2/s^2),Wet Bulb Zero Level (ft),Equilibrium Level (ft),Lowest Freezing Level (ft),-10C Level (ft),Cloud Depth Ratio,Energy Helicity Index,Bulk Richardson Number,Microburst Day Potential Index (MDPI),WINDEX,Datetime,Severe
KXMR,28.48,-80.55,5,2005,5,1,16,0,16.4,85000.0,124,651.0676395,-0.001603612,-0.001961654,-2.7,32.6,35.3,44.4,23.8,18.2,4.6,-9.5,18.0,68.5,37.8,46.2,68.7,23.3,15.7,16.1,14.7,24.2,16.5,9.1,18.5,4.9,14.9,17.7,12.1,12.1,33.5,-5.9,50.8,18.5,38.9156768,30.3,12526.2,,14736.34853,19366.18336,,0.123295934,0.859818786,0.581551546,4.976881047,2005-05-01,0
KXMR,28.48,-80.55,5,2005,5,2,15,0,16.4,102526.2,104,1236.944904,-0.001537094,-0.001711482,-2.5,31.1,33.6,44.8,21.8,14.6,4.0,-9.5,20.1,88.1,40.7,37.1,88.1,10.8,9.9,1.0,3.0,-1.4,15.9,3.1,24.0,4.2,5.0,-0.4,21.2,5.7,26.1,15.1,74.1,13.1,39.51258409,-2.9,10876.7,38954.55671,12726.96723,19329.80422,0.30744297,-0.022419626,1.584562906,0.695408732,9.944281066,2005-05-02,0
KXMR,28.48,-80.55,5,2005,5,3,15,0,16.4,102362.2,129,189.0914207,-0.00211985,-0.001889403,-1.5,17.1,18.6,47.0,22.0,13.6,5.6,-12.9,14.6,56.2,29.4,33.8,56.6,14.2,10.5,0.3,-0.2,-1.8,19.7,2.1,21.7,2.8,13.9,-1.2,15.4,4.1,31.9,-8.6,62.0,16.6,52.5225568,-9.5,8641.4,28383.60971,12647.99873,17866.63443,0.327136221,-0.011227303,0.137091365,0.591578828,9.765966098,2005-05-03,0
KXMR,28.48,-80.55,5,2005,5,4,15,0,16.4,102526.2,130,1103.453883,-0.002067796,-0.001841456,-4.8,34.2,39.0,51.5,21.8,13.6,5.8,-12.3,19.9,90.7,44.4,51.7,90.6,16.1,3.3,9.5,-7.4,11.2,12.6,8.0,16.9,7.4,7.5,13.0,8.8,1.6,21.0,9.8,75.0,13.2,21.5377472,179.8,11757.4,38818.31979,13874.07584,18271.56854,0.329786959,1.240006301,4.757552974,0.641265461,3.611650252,2005-05-04,0
KXMR,28.48,-80.55,5,2005,5,5,16,0,16.4,102591.9,127,3118.066549,-0.001728956,-0.001946442,-8.1,37.8,45.9,50.3,22.8,15.2,3.0,-12.1,22.6,90.3,46.8,72.4,90.3,21.7,13.5,17.1,11.0,21.5,15.6,13.3,22.6,16.3,12.0,17.2,18.2,10.5,27.9,19.5,46.2,16.8,49.46773748,90.9,11484.8,45726.02901,12375.46937,18224.71095,0.261205226,1.771451558,2.548421621,0.765857813,12.61357247,2005-05-05,0
KXMR,28.48,-80.55,5,2005,5,6,15,0,16.4,102624.7,113,72.37863737,-0.001837816,-0.001682502,0.2,17.7,17.5,42.2,17.8,8.8,1.4,-14.5,14.7,74.2,26.3,28.0,74.5,16.4,12.9,-7.4,6.9,-11.7,18.0,-3.7,25.3,-3.3,9.9,-9.9,23.7,4.2,37.7,-10.1,64.9,-5.7,58.5678992,-80.8,8168.7,26514.01238,11403.74731,16938.06031,0.385131207,-0.036551212,0.042200841,0.364449376,6.220504727,2005-05-06,0
KXMR,28.48,-80.55,5,2005,5,7,15,0,16.4,102296.6,97,32.73738356,-0.001743342,-0.001435109,3.7,-3.9,-7.6,26.2,19.8,10.0,5.2,-10.1,14.0,46.8,21.0,21.7,47.7,10.8,-1.1,-5.6,-9.3,-2.6,6.1,-8.2,15.1,-12.8,-6.1,-3.5,13.3,-19.0,28.3,-10.3,49.4,-13.2,41.35713984,24.3,7073.0,7237.411342,13334.43936,19069.92251,2.394826599,0.00497199,0.038280092,0.291397886,4.565927057,2005-05-07,0
KXMR,28.48,-80.55,5,2005,5,8,15,0,16.4,90000.0,101,7.951302306,-0.002087515,-0.001476564,4.8,-4.9,-9.7,36.4,21.4,9.4,7.0,-11.3,10.5,43.8,19.7,22.6,44.2,9.2,6.1,-3.9,3.2,0.2,8.6,-7.5,14.7,-9.5,-1.8,-6.8,14.4,-6.7,25.4,-9.2,38.9,-3.4,43.29056686,-27.8,7314.2,6543.667672,13571.97099,18607.06448,5.286522835,-0.001381539,0.008485584,0.104707155,4.102245001,2005-05-08,0
KXMR,28.48,-80.55,5,2005,5,9,15,0,16.4,92001.3,91,0.0,-0.001880075,-0.001557061,6.0,2.1,-3.9,32.8,22.0,12.2,6.8,-9.7,7.1,40.7,18.8,12.2,41.0,8.2,0.2,1.1,0.5,0.8,0.0,1.5,5.9,-6.4,-17.3,8.0,9.2,-7.8,7.8,-7.8,27.6,-4.9,5.497821587,66.9,8999.2,,14088.74081,19278.25873,,0.0,0,0.158131005,5.390122072,2005-05-09,0
KXMR,28.48,-80.55,5,2005,5,10,15,0,16.4,102329.4,111,-310.9778863,-0.002190248,-0.001750082,0.5,1.1,0.6,44.0,22.0,11.6,6.2,-12.9,12.5,46.3,22.9,17.2,46.9,5.4,2.5,1.1,1.3,1.3,3.4,1.0,6.7,-2.3,-6.9,1.2,6.3,-3.0,13.9,-1.2,38.0,-3.3,25.41372236,24.7,7718.0,23156.27642,13045.02656,17792.80488,0.443817511,-0.048007211,-0.96299258,0.358455464,8.437954313,2005-05-10,0
KXMR,28.48,-80.55,5,2005,5,11,15,0,16.4,102427.8,115,1012.027307,-0.002047423,-0.001893302,-3.6,28.4,32.0,50.7,22.8,12.0,3.4,-14.3,15.4,79.3,32.2,29.3,78.5,6.0,-1.8,0.2,1.5,3.0,-4.7,-2.3,7.0,2.0,-1.8,0.7,7.0,-0.6,18.0,1.6,34.8,-34.8,21.5377472,-20.0,9728.0,33625.26677,11822.91705,16415.94195,0.264871203,-0.126503413,4.363366333,0.676888096,12.30219207,2005-05-11,0
KXMR,28.48,-80.55,5,2005,5,12,15,0,16.4,102329.4,104,221.6165263,-0.001755152,-0.001652013,-0.7,14.7,15.4,41.2,22.2,11.6,3.8,-11.5,15.5,57.9,28.4,35.0,58.3,10.1,-8.8,-1.4,-1.8,-1.7,-14.9,-1.2,-12.5,-1.6,-8.8,-5.0,-13.9,1.2,-5.5,-11.8,-2.6,-30.0,11.7019168,55.8,9063.2,25505.02806,12268.61851,18532.64495,0.393491702,0.077288764,3.236816856,0.459472801,11.30562096,2005-05-12,0
KXMR,28.48,-80.55,5,2005,5,13,15,0,16.4,97998.7,62,2.066660068,-0.001533532,-0.001533077,,,,44.3,22.4,10.8,2.5,-12.0,13.9,,17.8,,,13.3,-13.0,-3.1,-11.6,-3.0,-14.2,-3.1,-11.8,-5.1,-17.0,-1.5,-14.1,-6.6,-10.9,-5.8,-2.4,-6.0,8.816519369,-2.5,9063.2,,12198.22988,18719.50965,,-3.23e-05,0.053174659,,,2005-05-13,0
KXMR,28.48,-80.55,5,2005,5,14,15,0,16.4,97998.7,101,11.49604357,-0.001906427,-0.00157385,1.0,-4.3,-5.3,36.2,22.2,11.6,6.2,-10.5,14.7,45.0,20.8,8.0,45.9,10.1,-8.6,3.8,-5.6,4.2,-11.2,3.4,-7.9,4.9,0.0,6.0,-13.5,3.6,4.5,7.7,8.5,18.2,6.073290699,-12.0,8196.2,6264.344916,13916.61005,18670.71363,3.968693178,-0.000862203,0.623347552,0.496682321,7.49042286,2005-05-14,0
KXMR,28.48,-80.55,5,2005,5,15,15,0,16.4,102657.5,129,1850.853994,-0.001635512,-0.001560701,-4.0,14.9,18.9,43.4,20.8,11.4,3.8,-10.5,21.2,75.2,31.1,18.8,75.9,6.5,1.7,5.1,4.2,5.2,-0.4,5.0,-0.3,4.8,0.9,5.0,-5.1,6.1,6.9,-1.2,30.0,2.6,14.39153429,-29.6,8822.1,38425.24135,12946.49882,17793.90914,0.331033083,-0.342407989,17.87260934,0.916260038,6.592613418,2005-05-15,0
KXMR,28.48,-80.55,5,2005,5,16,15,0,16.4,102329.4,128,-72.59003196,-0.001745299,-0.001745582,0.2,11.3,11.1,36.0,23.4,13.8,4.6,-10.7,14.3,61.7,28.4,27.3,61.7,4.7,0.0,-0.2,2.7,1.8,-2.3,-1.9,1.9,0.1,-3.7,-1.7,4.1,0.0,7.0,12.1,53.8,4.7,16.03408821,11.3,9240.0,18466.07434,14088.95034,18593.95565,0.673008274,-0.005126671,-0.564700856,0.563829362,7.517656838,2005-05-16,0
KXMR,28.48,-80.55,5,2005,5,17,15,0,16.4,102526.2,120,1082.098551,-0.001654042,-0.001771183,-4.4,24.6,29.0,38.8,23.6,14.4,4.0,-10.5,19.6,63.8,33.3,30.9,64.4,5.3,-3.9,1.2,-5.2,3.1,-2.8,-0.4,4.2,1.0,-5.8,1.6,2.9,0.0,12.7,5.9,69.6,25.3,9.213574913,23.4,11385.7,,13876.42214,18817.19706,,0.158256913,25.494146,0.909408204,11.16715533,2005-05-17,0
KXMR,28.48,-80.55,5,2005,5,18,15,0,16.4,98999.3,130,1895.597735,-0.001864255,-0.001858276,-6.8,27.7,34.5,45.2,23.2,14.6,4.8,-11.5,21.3,69.5,37.3,52.2,70.0,10.9,-8.0,-6.6,-10.5,-5.7,-5.8,-7.3,1.9,-5.0,-9.9,-6.9,-2.5,-1.5,3.9,4.6,65.4,30.5,-12.34983517,-6.0,10905.2,,13723.20691,18111.87722,,-0.071084915,24.8572943,0.821979123,10.33740451,2005-05-18,0
KXMR,28.48,-80.55,5,2005,5,19,15,0,16.4,102296.6,104,372.9013544,-0.001882186,-0.001842745,-2.8,27.1,29.9,44.8,23.2,14.2,4.8,-11.7,16.8,72.9,34.9,47.6,72.6,10.5,-9.5,-4.3,-12.3,-5.6,-7.1,-3.3,-0.8,-2.1,-13.6,-6.3,-0.8,-2.8,7.9,-0.7,55.5,20.2,1.8855248,-12.0,11255.7,29527.87119,13340.79606,18198.11644,0.388121763,-0.027967602,209.7777671,0.471795345,11.00126263,2005-05-19,0
KXMR,28.48,-80.55,5,2005,5,20,10,0,16.4,102460.6,119,85.360829,-0.001887129,-0.001730119,-0.7,21.7,22.4,41.6,22.8,13.4,5.6,-10.9,18.2,54.3,28.9,36.9,55.5,6.2,-1.4,-3.9,-3.3,0.6,0.3,-7.8,2.3,-4.2,0.9,-5.0,1.8,-6.8,7.9,-0.7,77.2,36.0,12.89190437,-10.6,8850.4,30186.73734,13094.40302,18199.21318,0.378629947,-0.005655155,1.02719872,0.846231069,0.0,2005-05-20,0
KXMR,28.48,-80.55,5,2005,5,21,15,0,16.4,98999.3,125,609.6517009,-0.001657143,-0.001772838,-2.5,21.5,24.0,38.8,25.0,14.6,4.2,-10.3,16.4,57.5,33.5,68.4,57.6,15.7,15.3,-2.9,13.8,-4.4,16.6,-1.5,19.9,-6.3,20.7,3.6,13.9,-1.2,31.0,-11.3,55.3,-9.8,51.94789666,-39.9,10818.7,,12392.62745,18832.67777,,-0.152031893,0.451830818,0.497621869,14.10043844,2005-05-21,0
KXMR,28.48,-80.55,5,2005,5,22,15,0,16.4,102591.9,17,33.0590479,-0.001712873,-0.001712192,0.5,39.34,38.8,42.67,23.7,14.7,6.9,-6.6,19.1,103.3,83.9,156.1,102.4,,,,,,,,,,,,,,,,,,,9.6,15320.8,12670.87827,12683.59572,18522.42058,1.00116396,0.001983543,,,10.95986208,2005-05-22,0
KXMR,28.48,-80.55,5,2005,5,23,15,0,16.4,98999.3,106,145.8092951,-0.001607761,-0.001455446,-0.4,21.6,22.0,36.7,24.2,13.6,7.2,-7.1,18.6,58.8,30.1,21.3,59.1,9.8,9.3,-1.9,7.0,-0.6,11.3,-3.0,10.7,-8.2,9.6,-5.5,10.9,-1.9,19.9,-9.3,49.0,-4.3,35.67738335,10.5,11540.2,,15938.01865,20558.90138,,0.009568735,0.229102177,0.652395243,3.022294932,2005-05-23,0
KXMR,28.48,-80.55,5,2005,5,24,15,0,16.4,102788.7,112,3150.998086,-0.001982163,-0.001896189,-7.6,24.7,32.3,47.8,26.8,17.8,8.4,-9.1,22.4,71.5,41.6,44.2,71.5,19.8,18.8,-6.1,16.7,-7.2,20.5,-5.2,29.2,-6.9,16.4,-7.6,30.0,-8.0,32.9,-2.9,39.1,0.0,45.90156058,20.9,11860.9,44264.04809,14024.37587,19521.83924,0.289181355,0.411599125,2.991046969,1.016842579,15.22116168,2005-05-24,0
KXMR,28.48,-80.55,5,2005,5,25,12,0,16.4,97001.3,109,50.80706017,-0.00188289,-0.001920502,-1.4,27.1,28.5,42.2,23.0,17.0,6.4,-10.1,17.1,67.8,35.0,48.6,67.8,,20.9,-8.6,11.0,-6.4,29.4,-10.4,32.9,-8.1,28.0,-7.5,32.5,-5.7,37.1,0.0,31.9,-8.6,,-39.2,10808.0,26685.04204,12946.62258,18908.87831,0.427727321,-0.01244773,,0.459976901,10.3959567,2005-05-25,0
KXMR,28.48,-80.55,5,2005,5,26,10,0,16.4,102624.7,112,0.0,-0.001376663,-0.001412228,9.6,30.8,21.2,39.3,21.8,12.4,4.6,-7.5,7.8,82.5,34.2,32.4,81.6,17.8,13.7,-3.5,0.2,-2.0,25.3,-4.8,25.2,-4.9,12.2,4.4,30.6,-5.4,26.3,-9.6,32.9,-12.0,43.65266535,47.0,12135.0,,13090.5516,20092.46068,,0.0,0,0.561604488,0.0,2005-05-26,0
KXMR,28.48,-80.55,5,2005,5,27,15,0,16.4,73999.3,100,4.808287621,-0.001548872,-0.001520111,2.3,19.2,16.9,41.9,23.6,13.8,6.0,-7.7,15.6,77.2,33.4,12.5,76.6,12.7,6.1,7.2,-2.9,3.3,14.0,10.6,14.8,7.1,6.3,6.3,19.2,16.1,19.0,8.9,44.0,-3.8,30.93491537,21.5,9853.8,8626.447736,15472.13625,20316.6017,2.639782397,0.000646114,0.010048994,0.707493014,0.0,2005-05-27,0
KXMR,28.48,-80.55,5,2005,5,28,15,0,16.4,102460.6,112,,-0.001714784,-0.00148028,,1.7,,38.6,,14.6,8.2,-6.9,7.9,,10.3,20.3,,,,,,,12.2,6.8,15.3,7.8,0.0,0.0,24.2,14.0,17.8,3.1,32.2,18.6,,1.3,9311.1,,13547.05705,20834.83108,,,,0.389235026,,2005-05-28,0
KXMR,28.48,-80.55,5,2005,5,29,15,0,16.4,98999.3,127,5.580167575,-0.00182359,-0.001743126,0.0,24.9,24.9,41.4,24.6,16.2,7.6,-8.5,15.8,65.8,38.2,48.9,65.5,17.2,16.8,4.8,12.6,4.5,20.4,5.1,17.2,5.2,17.3,8.0,17.9,6.5,20.7,3.6,47.0,0.0,27.74477664,5.6,12976.1,22007.56399,14288.92158,20265.6926,0.527689343,0.000195306,0.014498223,0.49812841,9.639375579,2005-05-29,0
KXMR,28.48,-80.55,5,2005,5,30,15,0,16.4,102624.7,144,638.3953364,-0.002072776,-0.001820226,-2.3,20.5,22.8,44.8,26.2,17.6,10.0,-8.3,17.8,56.7,37.7,41.4,56.9,14.7,13.8,5.6,11.0,5.1,16.3,6.1,16.5,5.7,21.7,7.9,13.2,4.8,31.0,2.7,24.2,-6.5,53.79188432,3.9,12055.3,37537.40083,14394.33168,20042.50466,0.280555313,0.015560886,0.441251491,0.647063769,11.21449535,2005-05-30,0
KXMR,28.48,-80.55,5,2005,5,31,10,0,16.4,97001.3,138,1045.783204,-0.001666255,-0.001770535,-3.5,38.6,42.1,48.7,23.2,17.4,7.0,-7.7,21.7,86.6,54.0,86.2,86.9,17.5,4.6,16.3,1.9,21.0,7.0,12.2,8.9,10.3,7.2,15.5,5.1,6.1,12.0,17.2,22.0,0.0,23.87441377,61.0,13256.0,,14250.78786,20387.82012,,0.398704847,3.669494369,0.763388981,0.0,2005-05-31,0
KXMR,28.48,-80.55,5,2005,6,1,15,0,16.4,102788.7,106,0.0,-0.001505884,-0.001756833,2.9,35.0,32.1,42.8,21.4,17.4,5.8,-7.5,16.1,71.7,49.5,96.1,72.1,22.3,13.8,16.9,17.0,14.3,11.1,19.2,10.4,26.2,17.7,17.7,4.5,25.6,17.3,37.2,16.0,27.8,70.96660788,-160.8,13575.4,,13667.77439,20965.13544,,0.0,0,0.195092412,0.0,2005-06-01,0
KXMR,28.48,-80.55,5,2005,6,2,15,0,16.4,98999.3,100,163.7654958,-0.001594095,-0.001739903,-0.6,34.6,35.2,43.4,23.8,17.6,7.0,-7.1,18.4,78.1,50.6,83.4,77.9,18.3,10.1,14.8,7.2,15.2,12.6,14.5,9.3,16.3,6.8,18.8,10.4,14.8,14.0,24.2,39.2,46.8,43.66109809,10.6,13288.2,23638.69556,14317.83813,20853.85164,0.496589088,0.010849464,0.171815797,0.434582866,6.980707886,2005-06-02,0
KXMR,28.48,-80.55,5,2005,6,3,15,0,16.4,97001.3,100,2173.285291,-0.001619108,-0.001742722,-6.9,36.3,43.2,45.6,24.8,17.0,6.6,-7.7,24.5,82.1,54.4,95.3,82.7,21.4,-1.4,20.5,-7.4,18.3,3.8,22.4,10.2,22.5,-6.8,18.8,9.2,25.4,18.2,10.5,16.4,45.1,32.8703344,126.3,13995.4,,14048.55688,20654.08619,,1.715537077,4.022893095,0.705454931,9.589388553,2005-06-03,0
KXMR,28.48,-80.55,5,2005,6,4,15,0,16.4,70000.0,83,958.2618036,-0.001530804,-0.001662674,-3.7,32.4,36.1,42.4,22.6,15.6,5.6,-7.9,22.5,77.9,49.1,90.1,78.7,14.8,0.9,15.0,-2.0,8.5,3.5,20.5,7.1,18.6,-3.4,12.6,7.9,21.7,4.7,26.6,10.6,39.6,49.19226162,71.8,13593.3,,14101.09095,20978.35664,,0.430019984,0.791991633,0.4711664,4.692347415,2005-06-04,0
KXMR,28.48,-80.55,5,2005,6,5,15,0,16.4,102854.3,121,311.2718018,-0.001532514,-0.001604583,-0.8,36.0,36.8,44.2,24.4,15.8,6.6,-6.9,19.6,88.1,52.4,85.2,87.6,10.6,-0.9,10.1,-3.1,12.6,1.0,7.9,1.5,9.5,-1.8,10.0,3.1,8.4,0.0,12.0,20.7,17.4,5.232860962,30.3,13627.3,30362.31552,13909.02149,21079.397,0.386467627,0.058947097,22.73481288,0.556421988,8.371889794,2005-06-05,0
KXMR,28.48,-80.55,5,2005,6,6,15,0,16.4,102755.9,110,1793.842005,-0.001709053,-0.001630211,-5.4,37.4,42.8,45.9,22.4,14.8,6.8,-8.3,23.8,98.8,59.1,96.0,98.8,5.5,-3.1,-4.1,-3.5,-5.0,-2.8,-3.3,-0.4,-2.4,-2.1,-7.7,0.9,-0.3,10.7,-2.9,13.3,19.0,17.49125134,-8.2,14895.2,43262.24716,14996.27994,19853.06588,0.345244849,-0.091934403,11.72660845,0.533112394,0.0,2005-06-06,0
KXMR,28.48,-80.55,5,2005,6,7,15,0,16.4,102821.5,121,1640.003184,-0.001861977,-0.001749947,-5.8,28.1,33.9,43.8,26.4,17.2,8.8,-7.7,22.6,72.0,45.5,39.5,72.2,3.9,3.4,-1.2,2.8,0.3,3.9,-2.4,4.8,-1.9,2.9,-0.2,3.2,-3.9,4.6,-2.1,21.3,21.3,6.858276749,7.6,12767.4,,15332.34875,20582.34974,,0.077900151,69.73401565,0.869843016,10.68868422,2005-06-07,0
KXMR,28.48,-80.55,5,2005,6,8,14,0,16.4,102690.3,127,2471.785546,-0.001842819,-0.001753991,-8.3,32.9,41.2,48.2,25.4,16.6,8.0,-8.3,24.8,87.1,54.3,70.7,87.3,5.1,-2.3,2.3,0.5,3.5,-4.7,1.2,-2.1,-0.1,-1.1,3.9,-3.0,-5.2,0.2,1.9,22.4,32.0,-0.041698503,-6.8,12553.8,,14405.03019,21085.95868,,-0.105050886,2843150.515,1.018738598,12.06472512,2005-06-08,0
KXMR,28.48,-80.55,5,2005,6,9,15,0,16.4,97001.3,115,1793.836741,-0.001792278,-0.001680055,-6.4,32.9,39.3,47.4,25.2,16.4,8.4,-7.5,24.1,86.4,57.0,76.1,86.5,15.9,-14.8,5.9,-15.9,5.8,-13.9,6.0,-8.7,7.9,-13.6,6.3,-11.5,8.0,1.6,8.8,36.8,30.9,4.973486155,2.1,13639.5,,14932.31157,20945.23408,,0.023544107,145.0410997,0.755845084,8.589253032,2005-06-09,0
KXMR,28.48,-80.55,5,2005,6,10,15,0,16.4,60000.0,57,1373.120152,-0.001655175,-0.001524,-4.5,20.3,24.8,39.8,25.6,16.2,9.2,-5.5,23.8,64.2,48.0,61.5,65.1,24.6,-22.1,11.9,-23.4,12.3,-21.0,11.5,-22.4,15.6,-21.7,12.5,-21.3,14.9,-19.4,23.1,15.5,22.1,47.58894135,24.6,13063.5,,16001.36173,21987.02923,,0.211117223,1.212624809,0.850453012,6.32874786,2005-06-10,0
KXMR,28.48,-80.55,5,2005,6,11,15,0,16.4,97998.7,120,245.5854071,-0.001581192,-0.00155967,-1.4,37.4,38.8,43.6,23.4,17.6,9.4,-4.7,23.1,93.5,63.5,89.5,93.6,23.9,-0.8,23.2,-5.9,24.9,3.6,21.7,-1.0,19.0,6.7,25.2,-5.1,14.1,-3.6,20.7,-7.0,26.1,21.95712685,103.9,14418.6,27802.95824,15852.22084,22778.00065,0.558452774,0.159477024,1.018782628,0.457829791,0.0,2005-06-11,0
KXMR,28.48,-80.55,5,2005,6,12,15,0,16.4,91000.7,91,1197.114207,-0.001693333,-0.001589104,-4.4,32.1,36.5,44.8,24.4,17.0,9.4,-5.7,24.1,91.7,58.0,61.1,91.7,9.0,-3.7,7.9,-5.1,8.9,-2.4,7.1,-1.4,7.5,-4.5,5.4,-1.8,10.0,-2.1,5.7,-9.1,6.4,-7.016878518,21.2,13777.2,,16022.36353,21769.69485,,0.158617632,48.62702105,0.721798763,1.654475077,2005-06-12,0
KXMR,28.48,-80.55,5,2005,6,13,15,0,16.4,82001.3,103,562.7442671,-0.001690845,-0.001531693,-1.4,8.9,10.3,35.8,25.2,17.0,10.2,-4.9,21.1,61.5,36.1,16.0,62.2,7.5,-6.2,-0.3,-3.8,3.6,-8.3,-3.7,-7.0,-5.2,-3.5,2.0,-11.3,-6.5,-5.0,0.9,-28.0,-7.5,4.757275981,-2.3,10484.0,,16484.13153,21502.85971,,-0.008089449,49.73067818,0.941075058,5.839040052,2005-06-13,0
KXMR,28.48,-80.55,5,2005,6,14,15,0,16.4,92998.7,118,1317.837538,-0.00171387,-0.001602001,-4.3,7.3,11.6,31.8,25.8,17.4,9.8,-5.5,23.4,48.4,33.4,19.7,49.7,5.0,-3.5,-0.6,-2.5,1.7,-4.4,-2.6,0.5,0.1,-5.0,-0.4,0.0,1.0,-8.1,3.8,-25.4,-9.2,-0.333353408,5.0,12092.5,,16450.13176,21872.92859,,0.041182423,23718.21886,1.117991778,6.831917467,2005-06-14,0
KXMR,28.48,-80.55,5,2005,6,15,16,0,16.4,60000.0,74,2579.649745,-0.001420536,-0.001556812,-5.7,30.3,36.0,41.2,28.2,18.4,8.8,-3.9,25.0,79.7,48.6,24.3,79.4,4.9,2.8,-2.6,4.5,-1.4,1.2,-3.7,1.5,-1.9,0.7,-4.0,2.1,-2.1,4.9,1.3,-18.0,-1.6,-2.200377355,18.4,12848.6,,17118.75013,21972.73463,,0.296659721,1065.605381,1.484316509,10.29121831,2005-06-15,0
KXMR,28.48,-80.55,5,2005,6,16,15,0,16.4,95000.0,116,2084.846909,-0.001658852,-0.001665228,-6.4,36.7,43.1,46.8,27.4,17.6,8.6,-6.1,23.8,81.1,50.8,50.9,81.1,10.0,9.5,-2.0,7.8,-3.7,11.1,-0.4,11.7,0.2,6.8,-1.8,14.9,1.3,15.4,4.1,19.0,0.0,25.3087968,5.8,13935.6,,14588.33236,21294.76071,,0.0755757,6.509702897,1.307767963,14.30737425,2005-06-16,1
KXMR,28.48,-80.55,5,2005,6,17,15,0,16.4,97998.7,128,2889.352221,-0.001642363,-0.001754802,-8.4,28.7,37.1,43.8,27.0,17.8,7.4,-7.1,25.1,70.1,43.1,42.1,70.4,14.2,13.5,4.8,11.9,3.8,14.9,5.8,14.0,6.0,14.1,5.1,17.8,3.1,14.9,-1.3,24.2,-14.0,19.82354507,-1.6,11941.0,,14553.80624,20712.46095,,-0.028893522,14.7050951,1.386521571,14.41026147,2005-06-17,1
KXMR,28.48,-80.55,5,2005,6,18,15,0,16.4,102755.9,130,1733.815473,-0.00187377,-0.001800417,-6.0,9.3,15.3,47.6,27.2,17.2,8.2,-8.3,21.3,64.2,41.4,46.5,64.3,15.4,14.8,4.6,14.1,4.0,15.4,5.2,18.4,8.2,20.0,1.7,13.0,7.5,27.3,12.7,38.1,0.0,46.846544,-9.9,9125.8,,14265.09232,19847.57177,,-0.107279832,1.580075196,1.192125196,14.85525699,2005-06-18,0
KXMR,28.48,-80.55,5,2005,6,19,15,0,16.4,98999.3,120,869.547356,-0.001853129,-0.001889081,-3.9,32.1,36.0,46.4,26.6,17.4,7.0,-9.3,18.3,71.8,41.5,58.0,71.5,17.2,16.4,5.1,12.1,2.3,20.1,7.6,21.2,9.1,15.0,5.4,23.7,4.2,28.3,10.3,55.2,14.8,47.38719627,22.4,13112.5,,14071.83522,19493.82854,,0.12173663,0.77446395,0.72540743,12.57951807,2005-06-19,1
KXMR,28.48,-80.55,5,2005,6,20,15,0,16.4,96000.7,129,2061.184426,-0.00155406,-0.001760909,-6.4,31.4,37.8,43.8,25.0,16.4,5.2,-8.5,22.9,81.7,44.3,42.4,81.9,5.2,0.6,1.4,-2.7,-0.6,3.5,3.2,13.7,5.5,-2.0,3.5,11.9,2.1,27.3,12.7,27.5,59.0,44.41598171,21.0,11890.2,,13744.7754,20455.57446,,0.270530456,2.089624814,1.092961579,13.52967628,2005-06-20,0
KXMR,28.48,-80.55,5,2005,6,21,15,0,16.4,96000.7,111,939.676125,-0.001555797,-0.001677603,-3.5,35.2,38.7,44.4,24.0,15.4,5.4,-8.3,20.6,85.5,48.7,71.0,85.5,9.9,0.5,8.3,-5.0,5.0,5.2,11.1,12.9,10.4,-3.0,6.3,11.5,16.4,17.3,10.0,31.7,45.2,34.18112084,25.5,13462.0,,13712.3237,20422.82451,,0.149760882,1.608553793,0.994692539,11.47602259,2005-06-21,0
KXMR,28.48,-80.55,5,2005,6,22,15,0,16.4,72001.3,117,1448.444961,-0.001673099,-0.001779595,-5.4,37.7,43.1,47.5,24.4,15.8,5.4,-9.3,21.1,89.2,49.2,70.7,88.7,10.2,8.4,3.2,1.1,0.2,14.9,5.8,15.3,5.4,10.7,2.9,13.6,6.3,14.1,5.1,47.3,8.3,25.3282352,-1.8,13392.4,,13771.05156,19696.52294,,-0.016295006,4.515669329,0.895984277,12.64817288,2005-06-22,1
